file_size,framework,count,avg_time,avg_memory,success_rate,avg_quality
huge,unstructured,9,0.002866506576538086,557.1493055555555,0.0,0.0
large,unstructured,9,0.0026941034528944227,558.765625,0.0,0.0
medium,unstructured,36,0.039040843645731606,554.1384548611111,0.0,0.1834359523608402
small,unstructured,73,0.02887912645731887,534.0158390410959,0.0,0.2728231521809631
tiny,unstructured,142,0.09278511329435966,515.1272007042254,0.0,0.34634359913451646
